summary_nr,Event Date,Abstract Text,Event Description,Event Keywords,con_end,Construction End Use,build_stor,Building Stories,proj_cost,Project Cost,proj_type,Project Type,Degree of Injury,nature_of_inj,Nature of Injury,part_of_body,Part of Body,event_type,Event type,evn_factor,Environmental Factor,hum_factor,Human Factor,task_assigned,Task Assigned,hazsub,fat_cause,fall_ht
220818371,2016-12-17 00:00:00,"At 9:30 a.m. on March 5, 2017, Employee #1 was walking to the bathroom. A tree limb broke from a tree due to snow and high winds, and fell on the employee. Employee #1 was struck in the head and killed. ",EMPLOYEE STRUCK BY 800 POUND PART AND SUSTAINS MULTIPLE INJU,"TOXIC FUMES,EQUIPMENT FAILURE,ALLERGIC REACTION,CHEMICAL",0, ,1, ,0, ,0, ,Fatal,12,"Amputation, Crushing",28,Left Leg,4,Ingestion,0.3003617250347491,Materials Handling Equip./Method,14,"Misjudgment, Hazardous Situation",1,Regularly Assigned,8400,27,0
220859359,2016-07-20 00:00:00,"At approximately 5:00 p.m. on February 23, 2017, Employee #1 was helping a coworker put away stock.  Pallets of corrugated boxes needed to be moved were stacked on top of each other and leaning.  Employee #1 used a reach truck to take the top pallets down because the stacks seemed unstable.  He took a pallet down and after blowing his horn, backed up with the load.  As he was backing up he saw his coworker driving towards him on another reach truck. Employee #1 turned right hard to make avoid an accident then saw a cherry picker that was parked with the forks raised.  Employee #1 crashed into the parked cherry picker with one of the forks going through his leg. Employee#1's leg was fractured in two places and he was hospitalized. ",EMPLOYEE STRUCK AND KILLED BY MOTOR GRADER,"STRUCK AGAINST,ROOF,NECK,FALL,HEAD",H,Other building,8,40,B,"$50,000 to $250,000",D,Demolition,Nonfatal,16,Fall from Elevation,22,Lower Leg,8,Card-vascular/resp. fail.,15.827518641803724,Overpressure/Underpressure,20,Mater-Handling Procedure Inappropriate,1,Regularly Assigned,1900,16,0
220908271,2015-12-20 00:00:00,"At 11:00 a.m. on March 21, 2017, Employee #1 was looking for the owner of the facility. The employee fell from an unguarded stairs and sustained bruises to his neck, shoulder, and head. Employee #1 was hospitalized for his injuries. ",EMPLOYEE'S TIP OF RIGHT RING FINGER IS AMPUTATED BY CONVEYOR,"PINNED,CRUSHING,RIB,INDUSTRIAL TRUCK,RIDING ON EQUIPMENT,LIVER,MATERIAL HANDLING,FRACTURE,STRUCK BY",0, ,7,13,0, ,C,Maintenance or repair,Fatal,9,Fire Burn,24,Shoulder,7,Inhalation,5.415842904450135,Catch Point/Puncture Action,6,Equipment Inappropriate For Operation,2,Not Regularly Assigned,1803,0,0
220873699,2017-05-16 00:00:00,"At approximately 4:30 p.m. on February 20, 2017, an employee was ripping lengths of oak on a table saw. The employee's left hand contacted an unguarded saw blade resulting in amputation of two fingers. The employee was hospitalized and treated for his injuries. ",EMPLOYEE IS STRUCK BY FORKLIFT AND SUFFERS MULTIPLE INJURIES,"PINNED,CAUGHT IN,POWERED INDUSTRIAL VEHICLE,LUNG,RIB",0, ,0, ,C,"$250,000 to $500,000",0, ,Fatal,9,Head Trauma,28,Back,13,Other,6.529125230781577,Catch Point/Puncture Action,7,Malfunction Neuromuscular System,2,Not Regularly Assigned,X100,14,0
220960165,2016-03-14 00:00:00,"At 10:15 a.m. on January 26, 2016, Employee #1 was climbing a scaffold fixed ladder to gain access to the fourth tier of the scaffold. The employee contacted an energized power distribution line with the metal spray painting wand that he was carrying. Employee #1 received an electrical shock and fell 32 feet from the scaffold. He was killed by the fall and electrical shock. ",EMPLOYEE IS CRUSHED AND KILLED BETWEEN WATER TRUCK AND MILLI,"PALLET,SHOULDER,FALL,LOST BALANCE,ELEVATED WORK PLATFORM",E,Refinery,7,13,G,"$10,000,000 to $20,000,000",C,Maintenance or repair,Nonfatal,15,Eye injury,22,Hip,12,Caught in or between,7.978063815887976,"Weather, Earthquake, Etc.",8,Distracting Actions By Others,1,Regularly Assigned,8400,15,0
220950059,2016-10-24 00:00:00,"At 8:15 p.m. on June 3, 2016, an employee was climbing a fixed ladder attached to a welded frame scaffold. The employee fell from a fall height of approximately 27 feet suffering fatal, crushing injuries to the head and body upon impact of the concrete street. ",EMPLOYEE DIES WHEN EQUIPMENT IS NOT LOCKED OUT,"STRUCK BY,WAREHOUSE,SHOULDER,MATERIAL HANDLING,POWERED INDUSTRIAL VEHICLE",0, ,0,1,A,"Under $50,000",A,New project or new addition,Nonfatal,5,"Bruising, Contusion",30,Elbow,2,Caught in or between,1.1651719932783797,Other,11,Position Inappropriate For Task,2,Not Regularly Assigned,8330,0,0
220931406,2015-11-01 00:00:00,"At 3:45 p.m. on June3, 2016, Employees #1 and #2 were changing out a 10,000 PSI hydraulic cylinder which was leaking.  The ram malfunctioned when the new cylinder was put into place and Employees #1 and #2 filled the hydraulic pump system with fluid, believing the problem to be low fluid levels.  The ram continued to malfunction and both employees decided to replace the check valve fittings on the cylinder.  They retrieved the fittings from the leaking cylinder and, as Employee #1 removed the front check valve from the new cylinder, it flew off and struck him in the face.  Employee #1 was killed instantly. ",EMPLOYEE'S FINGERTIP IS AMPUTATED BY PRINTING MACHINE,"TRENCH,COLLAPSE,STRUCK BY,CRUSHING",N,"Excavation, landfill",5,13,G,"$10,000,000 to $20,000,000",E,Other,Nonfatal,21,"Fracture, Broken Bones",12,Hand,13,Fall (same level),3.928711261399277,Temperature +/- Tolerance Lev.,8,Perception Malfunction Task-Environment,2,Not Regularly Assigned,8890,12,0
220932214,2017-04-15 00:00:00,"At 10:00 a.m. on April 21, 2017, an employee was operating a KS cake dryer when a jam occurred. As the employee opened the machine's panel door, located at the dryer discharge, with the machine still running, he used a pair of pliers to clear the jam. However, the employee's left index finger became caught between the pliers and the machine blades, resulting in its tip being amputated. ",EMPLOYEE STRUCK BY A LATHE BAR IS KILLED,"STEEL ERECTION,STRUCK BY,TORSO,FALL,LADDER,RESIDENTIAL CONSTRUCTION,FALLING OBJECT,CHEST",F,Power plant,40,16,G,"$10,000,000 to $20,000,000",D,Demolition,Nonfatal,6,Puncture,10,Heart,0,Absorption,5.674805281715299,Flying Object Action,0,Insufficient /Lack/Expose/Biological Monitoring.,2,Not Regularly Assigned,L130,28,0
220925689,2015-09-25 00:00:00,"At approximately 1:15 a.m. on January 4, 2017, Employee #1 was restocking shelves on an order picker using his fall protection.  He fell 10 foot off of the order picker and his fall arrest protection did not work.  Employee #1 was hospitalized with an injury to his wrist and head. ",EMPLOYEE IS CAUGHT BETWEEN TWO PRINTING PRESS ROLLERS AND CR,"STRUCK BY,EDGER,HEAD,IMPALED",B,Multi-family dwelling,8,9,F,"$5,000,000 to $10,000,000",C,Maintenance or repair,Nonfatal,17,Chemical Burn,19,Heart,2,Card-vascular/resp. fail.,12.150763278090604,Chemical Action/Reaction Expos,15,Insufficient/Lack/Housekeeping Program,1,Regularly Assigned,1803,21,0
220827331,2017-02-13 00:00:00,"At approximately 10:30 a.m. on April 5, 2017, an employee was climbing a vertical ladder to access a scaffold platform. The employee fell 60 feet to a lower platform walkway and was not tied off.  The employee sustained a concussion and broken bones. The employee was killed. ",EMPLOYEE PARTIALLY AMPUTATES FINGER IN UNGUARDED CHAIN AND S,"STRUCK AGAINST,LOADER,FARM MACHINERY,AGRICULTURE MACHINERY/VEHICLE",P,Other heavy construction,40,6,0, ,B,Alteration or rehabilitation,Nonfatal,16,Fall from Elevation,2,Back,3,Absorption,15.112463444325344,Flammable Liquid/Solid Exposure,19,Insufficient /Lack/Respiratory Protection,1,Regularly Assigned,10,24,0
220826226,2015-09-13 00:00:00,"At 8:30 a.m. on November 8, 2016, an employee was climbing a ladder onto the 14ft empty food grade tank to open a hatch to provide additional ventilation and light to the inside of the tank. The employee fell and was killed on-site. on-site. on-site.",WORKER IS ELECTROCUTED,"STRUCK BY,CRUSHED,MOTOR VEHICLE,TRAILER",E,Refinery,12,46,D,"$500,000 to $1,000,000",E,Other,Fatal,10,Dislocation,5,Ribs,9,Rubbed/abraded,10.061137174236192,Gas/Vapor/Mist/Fume/Smoke/Dust,15,Insufficient/Lack/Housekeeping Program,2,Not Regularly Assigned,5,24,0
220954523,2015-10-12 00:00:00,"At approximately 1:00 p.m. on September 5, 2016, an employee was walking along a row of grapes that he had finished picking and was counting the number of trays he had placed on the ground to  record them for payment. As he was walking along the row he collapsed. The employee died of an apparent heart attack. ",EMPLOYEE IS STRUCK AND KILLED BY FALLING A-LEG,"RESPIRATORY TRACT,ABRASION,CONSTRUCTION VEHICLE,PRESSURE PIPING,EXPLOSION,BURN",M,Pipeline,0,1,E,"$1,000,000 to $5,000,000",0, ,Nonfatal,13,Freezer burn,9,Lungs (Puncture),5,Struck-by,3.214976153795168,Pinch Point Action,6,Insufficient /Lack/Written Work Practice Program,1,Regularly Assigned,1340,15,0
220899835,2016-04-19 00:00:00,"At 9:00 a.m. on February 25, 2017, an employee was bitten by a cat, which he was hospitalized and received treatment. ",EMPLOYEE IS KILLED WHEN CAUGHT BY ROLLERS IN MACHINE,"STRUCTURAL COLLAPSE,STRUCK BY,CHEST,FALL,CRUSHED",P,Other heavy construction,13,8,0, ,0, ,Fatal,5,"Bruising, Contusion",19,Whole Body,2,Struck-by,10.343053295106614,"Weather, Earthquake, Etc.",1,Other,1,Regularly Assigned,D150,7,0
220951602,2015-08-27 00:00:00,"At 4:00 p.m. on September 9, 2016, an employee was trimming branches from a tree with a chain saw. The employee fell from a basket at a height of 30 feet. The employee was killed by the fall. ",EMPLOYEE SUFFERS A SUBDURAL HEMATOMA AND DIES.,"PELVIS,FIRE TRUCK,RUN OVER,LUNG,LACERATION,FRACTURE,FIRE FIGHTER,STRUCK BY,SKULL,ARM,CHEST",A,Single family or duplex dwelling,19,15,C,"$250,000 to $500,000",C,Maintenance or repair,Nonfatal,16,Illness,26,Liver,14,Struck against,17.14270355186615,Radiation Condition,5,Equipment Inappropriate For Operation,1,Regularly Assigned,1900,22,0
220829493,2016-11-28 00:00:00,"At 1:35 p.m. on September 14, 2015, Employee #1, working alone, made the backcut and hingecut on a 22-inch diameter, 45-foot tall willow tree with a gas-powered chainsaw. The employee then retreated 12.3 feet to 24.5 feet to the northwest as the tree fell.  The tree fell to the southeast, smashing into an adjacent tree that was standing 11.3 feet to the southeast of the stump. The trunk then kicked back in the direction of the retreated employee and hit them in the chest, killing him. ",EMPLOYEE IS KILLED IN EXPLOSION WHILE CLEANING EQUIPMENT,"STRUCK BY,CAUGHT BETWEEN,FOOT,INDUSTRIAL TRUCK,CRUSHED",F,Power plant,16,139,D,"$500,000 to $1,000,000",A,New project or new addition,Fatal,21,Serious Fall/Strike,31,Fingers,13,Other,10.154252775274642,Overpressure/Underpressure,9,Safety Devices Removed/Inoperable,2,Not Regularly Assigned,1640,27,0
220947311,2016-06-10 00:00:00,"At 9:00 a.m. on January 18, 2017, Employee #1 was moving a transfer box of materials into the bed of a dump truck. The employee's arm became caught between the truck bed and the moving transfer box, crushing his right arm. ",EMPLOYEE IS PINNED WHEN OPERATING A JLG AERIAL LIFT AND IS K,"STRUCK BY,CHEST,EXPLOSION,FALLING OBJECT,HEAD",G,Sewer/water treatment plant,10,2,D,"$500,000 to $1,000,000",A,New project or new addition,Nonfatal,15,Poison,8,Femur,0,Absorption,3.588040048830861,Pinch Point Action,8,Perception Malfunction Task-Environment,1,Regularly Assigned,C730,23,0
220798789,2016-09-23 00:00:00,"At 11:45 a.m. on February 7, 2017, Employee #1 was using a band saw to remove the heads from catfish. The employee was not wearing the required PPE (chain gloves). Employee #1 was either not paying attention or working too fast, and struck the band saw blade, severing his left thumb to the first knuckle. ",EMPLOYEE OPERATING TRACTOR DRIVES INTO CANAL AND DROWNS,"STRUCK BY,TRAIN",L,"Shoreline development, dam, reservoir",40,4,A,"Under $50,000",C,Maintenance or repair,Fatal,5,Fire Burn,12,Ribs,8,Bite/sting/scratch,8.777464451911335,"Weather, Earthquake, Etc.",1,"Misjudgment, Hazardous Situation",1,Regularly Assigned,1460,11,0
220943187,2015-07-29 00:00:00,"At approximately 9:45 a.m. on December 1, 2016, Employee #1 was holding a piece of angle iron to be punched by a coworker.  Employee #1s finger was between the angle iron and the work platform.  When the punch pressed on the angle iron it crushed Employee #1s ring finger amputating the tip.  Employee #1 was not hospitalized. ",EMPLOYEE FALLS FROM HEIGHT AND SUSTAINS FRACTURES AND BRUISE,"DECKING,FALL,NECK",O,"Power line, transmission line",21,21,B,"$50,000 to $250,000",A,New project or new addition,Nonfatal,3,Heat Exhaustion,7,Right Eye,0,Rubbed/abraded,14.028130027357575,Illumination,13,Malfunction In Securing/Warning Op,2,Not Regularly Assigned,337,7,0
220950778,2015-11-10 00:00:00,"At approximately 10:30 a.m. on April 10, 2017, an employee was climbing a ladder. The employee fell from ladder. The employee suffered from head injuries and was killed. ",EMPLOYEE CATCHES HAND UNDER HOIST CABLE AND CRUSHES THREE FI,"STRUCK BY,RUN OVER,LOADER,FOOT,LEG,FRACTURE",0, ,11,19,F,"$5,000,000 to $10,000,000",A,New project or new addition,Nonfatal,4,Heat Exhaustion,12,Hand,9,Ingestion,15.425000907329053,Sound Level,20,Mater-Handling Procedure Inappropriate,2,Not Regularly Assigned,8880,18,0
220881304,2015-08-05 00:00:00,"At approximately 11:00 a.m. on January 3, 2017, Employee #1 was operating a pallet jack to pick an order.  He was walking in front of the motorized pallet jack and was distracted. He was caught between the pallet jack and the stack of materials.  His leg was fractured and he was hospitalized. ",WORKER FALLS FROM TRACTOR AND IS KILLED WHEN RUN OVER,"EXCAVATION,ROLL-OVER,EXCAVATOR",H,Other building,13,16,C,"$250,000 to $500,000",D,Demolition,Fatal,0,Poison,5,Internal Injuries,2,Caught in or between,1.0176504944779323,Other,16,Insufficient /Lack/Expose/Biological Monitoring.,1,Regularly Assigned,337,3,0
220844948,2016-03-29 00:00:00,"At 10:00 a.m. on December 10, 2015, an employee was trying to climb down a Werner D162X aluminum ladder from the roof.  The employee and ladder fell 9 feet onto the metal flatbed of a truck, striking his head on the truck's bed. The employee was killed. ",EMPLOYEE FALLS THROUGH UNSUPPORTED SUBFLOORING AND IS KILLED,"STRUCK BY,VEHICLE,RUN OVER",F,Power plant,76,16,F,"$5,000,000 to $10,000,000",C,Maintenance or repair,Nonfatal,11,Chemical Burn,6,Liver,10,Rep. Motion/pressure,17.66554190561189,Radiation Condition,16,Insufficient /Lack/Expose/Biological Monitoring.,2,Not Regularly Assigned,2037,29,0
220899165,2017-01-06 00:00:00,"At 10:30 a.m. on August 13, 2015, an employee was using shovels to remove loose soil and rock from shallow ditches for underground plumbing installation in 1,500 sq ft building shell. The employee reported to the Operations Manager that he was hot and didn't feel well after doing shovel work for approximately 1.5 hours. The employee said he was going to his car to cool off and the employee was killed due to heat stress. ",EMPLOYEE IS STRUCK AND KILLED BY FALLING TREE,"ASPHYXIATED,FALL,GRAIN ELEVATOR",M,Pipeline,0, ,F,"$5,000,000 to $10,000,000",E,Other,Nonfatal,4,Heat Exhaustion,6,Liver,8,Bite/sting/scratch,14.575521066549282,Flammable Liquid/Solid Exposure,8,Perception Malfunction Task-Environment,2,Not Regularly Assigned,L130,1,0
220867691,2016-04-28 00:00:00,"At 7:45 a.m. on March 16, 2017, an employee was using a rag to clean the leveler rollers on a Duece Press.  The employee's arm was pulled into the rollers when the rag was caught on the rollers and pulled into the press.  The employee's arm was degloved from his shoulder to his elbow.  The employee was hospitalized and treated for his injuries. ",EMPLOYEE SUSTAINS INJURIES WHEN PRESSURE VESSEL EXPLODES,"PICKUP TRUCK,UNCONSCIOUSNESS,AGRICULTURE,KNEE,FALL,BRAIN",F,Power plant,9,7,0, ,B,Alteration or rehabilitation,Fatal,5,Laceration,27,Lungs (Asphyxiation),11,Inhalation,8.074705379549648,Pinch Point Action,15,Insufficient/Lack/Housekeeping Program,1,Regularly Assigned,2037,21,0
220821813,2016-07-27 00:00:00,"At 4:40 p.m. on March 10, 2017, an employee was assisting with a tandem crane lift.  The employee was struck when the load suddenly shifted.  The load crushed the employees torso and he was killed. ",EMPLOYEE FALLS FROM PICKUP TRUCK AND FRACTURES SKULL,"WAREHOUSE,FIRE,EXPLOSION",A,Single family or duplex dwelling,13,13,A,"Under $50,000",A,New project or new addition,Fatal,12,"Amputation, Crushing",4,Head,1,Fall (from elevation),8.763787691291636,"Weather, Earthquake, Etc.",1,"Misjudgment, Hazardous Situation",2,Not Regularly Assigned,8400,18,0
220960579,2015-08-15 00:00:00,"At approximately 9:30 a.m. on August 23, 2016, Employee #1 was trimming tree branches from the basket of a cherry picker.  He was found slumped over the controls of the basket dead with a head contusion. ",EMPLOYEE AND CUSTOMER ARE KILLED IN AUTOMOBILE ACCIDENT ON D,"PINNED,POWERED INDUSTRIAL VEHICLE,FALL,TRAILER,CRUSHED",H,Other building,5,2,E,"$1,000,000 to $5,000,000",A,New project or new addition,Nonfatal,1,"Asphyxiation, Drowning",2,Multiple,7,Fall (same level),9.683149609589538,Temperature +/- Tolerance Lev.,11,Insufficient /Lack/Protective Work Clothing/Equipment,1,Regularly Assigned,5010,19,0
220805527,2016-03-13 00:00:00,"At approximately 9:30 a.m. on March 16, 2017, an employee was in the process of tying off the top of his 14-28 foot extension ladder to the structure he was attempting to access.  As he performed this routine work, the ladder began to slip from the roof it was resting against, allowing the employee to fall approximately 12 feet to the asphalt drive.  He suffered a shattered heel and a compound leg fracture.  After the fall, emergency services were called to the site and transported the employee to a local hospital, where he was hospitalized and treated for his injuries. ",EMPLOYEE IS KILLED WHEN STRUCK BY A MOVING BUCKET TRUCK.,"PAPER,HEAD,PIPE,FALL",C,Commercial building,12,14,B,"$50,000 to $250,000",A,New project or new addition,Fatal,4,Electrocution,13,Head,1,Struck-by,3.045777477369122,Materials Handling Equip./Method,0,Malfunction Neuromuscular System,1,Regularly Assigned,240,26,0
220942866,2017-04-03 00:00:00,"At approximately 2:00 p.m. on January 2, 2017, Employee #1 was closing a mold rail when his finger was pinched during the manual operation of the rail and was lacerated.  He then fainted in the locker room striking his head and was hospitalized with a concussion. ",EMPLOYEE FALLS FROM STRUCTURAL STEEL BEAM AND IS INJURED,"TREE TRIMMING,STRUCK AGAINST,BOOM TRUCK,FALL",B,Multi-family dwelling,73,14,D,"$500,000 to $1,000,000",E,Other,Fatal,1,Head Trauma,4,Fingers,10,Ingestion,4.20703567692438,Overhead Moving/Falling Object Action,6,Insufficient /Lack/Written Work Practice Program,1,Regularly Assigned,8870,12,0
220959571,2016-07-22 00:00:00,"At approximately 8:10 a.m. on February 22, 2017, Employee #1 and a coworker were operating forklifts.  Employee #1 turned into the path of his coworkers forklift and his right calf was pierced by the forks.  Employee #1 was hospitalized with a fractured leg. ",EMPLOYEE AMPUTATES FINGER ON BAND SAWL,"WAREHOUSE,CAUGHT BETWEEN,CRUSHED",O,"Power line, transmission line",12,14,G,"$10,000,000 to $20,000,000",E,Other,Nonfatal,11,Freezer burn,7,Liver,10,Rep. Motion/pressure,9.94153395320638,Temperature +/- Tolerance Lev.,10,Position Inappropriate For Task,1,Regularly Assigned,1640,22,0
220922942,2015-07-19 00:00:00,"At approximately 1:30 p.m. on September 6, 2016, an employee was servicing the scissor lift table to fix a leak in the hydraulic hose.  The hose fitting broke and the lift table lowered pinning the employee between the table and the floor.	The employee received crushing injuries, such as fractured clavicle and ribs with hemorrhaging and was killed.	 ",EMPLOYEE IS ELECTROCUTED WHILE REMOVING BALLAST FROM A LIVE ,"TREE TRIMMING,TREE,OVERHEAD POWER LINE,ELECTROCUTED,STRUCK AGAINST",J,Bridge,5,8,0, ,B,Alteration or rehabilitation,Fatal,10,"Bruising, Contusion",11,Feet,13,Card-vascular/resp. fail.,3.6277070350222553,Catch Point/Puncture Action,8,Perception Malfunction Task-Environment,1,Regularly Assigned,337,16,0
220784136,2015-08-17 00:00:00,"At 5:19 a.m. on February 4, 2016, an employee was standing behind a tractor trailer that was in reverse-gear. The trailer crushed the employee against the loading dock and he was killed. ",THREE EMPLOYEES ARE BURNED WHEN PRESSURE FRYER LID MALFUNCTI,"TANK TRUCK,WATER,LOST CONTROL,WELL,ROLL-OVER",H,Other building,25,25,G,"$10,000,000 to $20,000,000",D,Demolition,Nonfatal,11,Fall/strike,30,Knee,8,Fall (same level),7.903924795082412,Shear Point Action,0,Insufficient /Lack/Expose/Biological Monitoring.,2,Not Regularly Assigned,2037,23,0
220929368,2016-03-03 00:00:00,"At 11:00 a.m. on October 8, 2015, Employee #1 was servicing a Michelin X One XDN 2 445/50R22.5 tire mounted on a a single piece rim wheel installed on a semi-tractor. Employee #1 was employed for approximately 11 years as the shop manager. Employee #1 performed light maintenance on vehicles routinely. Two employees found Employee #1 lying on his back on the ground, unresponsive. One of the two employees called emergency medical services while the other began checking for a pulse. The emergency services operator advised the employees to initiate CPR.  Police and rescue personnel arrived shortly after the call was made.  Emergency medical technicians did not find any vital signs and did not attempt to resuscitate the victim. The autopsy results indicate that the victim died from multiple blunt injuries of the head, chest, and abdomen due to an explosive tire rupture. ",EMPLOYEE 'S FINGER IS AMPUTATED WHILE HANDLING DRILL ROD,"CONCRETE SLAB,ELEVATED WORK PLATFORM,HEAD,SCAFFOLD,FALL",H,Other building,2,1,D,"$500,000 to $1,000,000",C,Maintenance or repair,Fatal,2,Puncture,26,Forearm,2,Other,1.9577583244087962,Pinch Point Action,13,Equipment Inappropriate For Operation,1,Regularly Assigned,560,12,0
220822092,2016-08-19 00:00:00,"At 12:45 p.m. on January 25, 2017, an employee was ripping material using a 10 inch unguarded Jet table saw, when his left hand contacted the blade. The employee amputated his middle and ring fingers, which he was hospitalized and received treatment. ",EMPLOYEE FRACTURES LEG IN FALL FROM LADDER,"CONVEYOR BELT,NIP POINT,FINGER,FRACTURE,LACERATION,HAND",O,"Power line, transmission line",25,21,F,"$5,000,000 to $10,000,000",D,Demolition,Nonfatal,10,Fire Burn,23,Abdomen,9,Ingestion,14.265010988848655,Illumination,13,Equipment Inappropriate For Operation,1,Regularly Assigned,D150,24,0
220884373,2017-04-02 00:00:00,"At approximately 3:00 a.m. on February 14, 2017, Employee #1 was cleaning the mixing auger of a machine. Employee #1 stuck his hand into a drain port on the machine and the rotating auger amputated three fingertips. Employee #1 was transported to a medical center, where he underwent surgical procedures and received addition treatment, and was then hospitalized. ",WORKER FALLS FROM SCAFFOLD AND IS KILLED,"WORKPLACE VIOLENCE,NOSE,STRUCK BY,FRACTURE",Q,Contractor's yard/facility,46,11,E,"$1,000,000 to $5,000,000",B,Alteration or rehabilitation,Nonfatal,16,Freezer burn,15,Lungs (Asphyxiation),1,Fall (from elevation),7.980446402651216,Work-Surface/Facility-Layout Condition,1,Other,1,Regularly Assigned,8870,2,0
220967574,2016-03-12 00:00:00,"At 8:00 a.m. on October 10, 2016, an employee was towel drying the front driver side of a car as the driverless car completed its automated car wash cycle through a 110' long car washing tunnel when the car came off the automatic conveyor track system.  The employee then opened the driver's door and incidentally shifted the car from neutral to reverse.  The employee then tried to get into the car.  He was found on the ground in front of the car between two vertical mitters near tunnel entrance.  He suffered serious head injuries and was killed. ",EMPLOYEE IS STRUCK AND KILLED BY TRUCK,"STRUCK BY,CHOKER SETTER,LOGGER",J,Bridge,21,14,G,"$10,000,000 to $20,000,000",E,Other,Nonfatal,18,Chemical Burn,25,Knee,8,Rubbed/abraded,2.695080854861203,Pinch Point Action,12,Defective Equipment In Use,2,Not Regularly Assigned,10,11,0
220778930,2015-10-29 00:00:00,"At 3:15 p.m. on September 18, 2015, an employee was working as a laborer for a berry farm. He was pruning blackberries. The plants were covered with plastic canopies. He had been working for approximately eight hours, when he became dizzy and disoriented. He lost consciousness and fell down. Coworkers assisted him with first aid and called emergency medical services. The paramedics arrived approximately eight minutes after they received the call. The employee was declared dead at approximately 3:32 p.m. It is thought that he had sustained heat stroke, but that was not certain. ",EMPLOYEE COLLAPSES AT WORK AND DIES,"ROTATING PARTS,FRACTURE,AMPUTATION,JAMMED,FINGER,BLADE,CAUGHT BETWEEN",E,Refinery,139,139,E,"$1,000,000 to $5,000,000",E,Other,Fatal,18,Head Trauma,29,Knee,2,Card-vascular/resp. fail.,8.106242917052349,Flying Object Action,9,Safety Devices Removed/Inoperable,1,Regularly Assigned,10,29,0
220838247,2015-07-06 00:00:00,"At 7:45 a.m. on April 24, 2107, two employees were using a Utility Task Vehicle (UTV) to check for flooded fields on their employer's farm. Employee #1 and Employee #2 were driving along the fog line on HWY 129 in order to cross over to another portion of the farm further down the road. When the UTV slowed and began to turn they were struck from behind by a truck traveling in the same direction. It was determined neither employee was wearing a seatbelt or helmet, as required by the manufacturer. The roll-bar mounted lights were in use at the time of the incident. The speed limit for the hwy is 55mph. Employee #1 later died and Employee #2 was injured. ",EMPLOYEE COLLAPSES AT WORK AND DIES,"CAUGHT IN,FINGER,NIP POINT,AMPUTATION",E,Refinery,8,12,F,"$5,000,000 to $10,000,000",E,Other,Fatal,18,Puncture,23,Left Leg,2,Other,8.383240632216369,Overpressure/Underpressure,16,Insufficient /Lack/Expose/Biological Monitoring.,2,Not Regularly Assigned,8400,9,0
220796544,2015-09-21 00:00:00,"At 3:30 p.m. on January 17, 2017, Employee #1 and his coworkers were cleaning the inside of an asphalt tank using a hyrdroblast nozzle that was attached to a metal arm constructed from steel tubing.  The arm was placed over a permanently-fixed metal pole inside the tank and was rotated at 180 degrees along the height of the tank to remove asphalt that had solidified on the walls.  The arm was moved horizontally by the force of the water and two coworkers inside the tank using guide ropes to move the arm across the face of the wall interior.  The arm moved vertically up the height of the tank by means of a hand-operated winch located outside the tank and affixed to the arm by means of a wire rope.  A coworker on the exterior of the tank hoisted the arm by slowly winching the wire rope back onto the spindle of the hoist.  The water and asphalt debris were removed from the tank floor using a nozzle attached to a vacuum truck.  The employee and coworkers reportedly stood on the opposite side of the 180 degree radius of the hydroblast arm but the wire rope broke and the arm struck Employee #1 on the head.  Visibility in the tank prevented the coworkers in the tank from actually witnessing what had happened but it was speculated that Employee #1 had moved under the arm in an attempt to keep it from falling.  The employee was hospitalized. ",EMPLOYEE'S LEGS ARE CRUSHED DURING DEMOLITION OF CONCRETE WA,"STRUCK BY,TRUCK,RUN OVER",G,Sewer/water treatment plant,46,76,B,"$50,000 to $250,000",B,Alteration or rehabilitation,Fatal,11,Heat Exhaustion,19,Ribs,0,Absorption,9.996292545261587,Catch Point/Puncture Action,16,Insufficient /Lack/Expose/Biological Monitoring.,1,Regularly Assigned,1480,19,0
220834410,2016-03-30 00:00:00,"At 4:00 p.m. on February 6, 2017, an employee was using saddle strap for trimming branches of a tree.The tree split causing it to pull the employee into the tree trunk.  The employee was crushed by the weight of the tree and was killed. ",EMPLOYEE CAUGHT IN-BETWEEN POWERED INDUSTRIAL TRUCK'S BODY A,"CRUSHING,STRUCK BY,FALLING OBJECT,POWERED INDUSTRIAL VEHICLE,MATERIAL HANDLING,ELEVATED WORK PLATFORM",0, ,1, ,0, ,0, ,Fatal,21,Serious Fall/Strike,31,Heart,5,Struck-by,3.53127159107796,Pinch Point Action,0,Insufficient /Lack/Respiratory Protection,2,Not Regularly Assigned,1640,18,0
220942460,2016-04-17 00:00:00,"At 7:30 a.m. on February 9, 2017, an employee was repairing an automated welding machine (model number: MG201). While working on the equipment, he inadvertently stepped onto the equipment's metal feeder that was moving and got one of his legs caught. His skin was pulled from his leg from the knee to the ankle, which he was hospitalized and received treatment. ",EMPLOYEES IS KILLED BY HEART ATTACK UNDER HEAT STRESS CONDIT,"ELECTRICAL,ELECTRICIAN,ELECTROCUTED,LOCKOUT",L,"Shoreline development, dam, reservoir",5,7,F,"$5,000,000 to $10,000,000",D,Demolition,Nonfatal,9,Electrocution,18,Hip,8,Inhalation,10.15368376859622,Gas/Vapor/Mist/Fume/Smoke/Dust,17,Insufficient /Lack/Engineering Controls,1,Regularly Assigned,1460,12,0
